Accession	Name	Description
ARO:0000025	fosfomycin	Fosfomycin (also known as phosphomycin and phosphonomycin) is a broad-spectrum antibiotic produced by certain Streptomyces species. It is effective on gram positive and negative bacteria as it targets the cell wall, an essential feature shared by both bacteria. Its specific target is MurA (MurZ in E.coli), which attaches phosphoenolpyruvate (PEP) to UDP-N-acetylglucosamine, a step of commitment to cell wall synthesis. In the active site of MurA, the active cysteine molecule is alkylated which stops the catalytic reaction.
ARO:0000026	streptogramin antibiotic	Streptogramin antibiotics are natural products produced by various members of the Streptomyces genus. These antibiotics bind to the P site of the 50S subunit of bacterial ribosomes to inhibit protein synthesis. The family consists of two subgroups, type A and type B, which are simultaneously produced by the same bacterial species in a ratio of roughly 70:30.
ARO:0000027	roxithromycin	Roxithromycin is a semi-synthetic, 14-carbon ring macrolide antibiotic derived from erythromycin. It is used to treat respiratory tract, urinary and soft tissue infections. Roxithromycin may possess bacteriocidal activity, particularly at higher concentrations by binding to the 50S subunit of the bacterial 70S rRNA complex, protein synthesis and subsequently structure/function processes critical for life or replication are inhibited.
ARO:0000028	vancomycin	Vancomycin is a glycopeptide antibiotic used in the prophylaxis and treatment of infections caused by Gram-positive bacteria. Vancomycin inhibits the synthesis of peptidoglycan, the major component of the cell wall of gram-positive bacteria. Its mechanism of action is unusual in that it acts by binding precursors of peptidoglycan, rather than by interacting with an enzyme.
ARO:0000029	teicoplanin	Teicoplanin is a glycopeptide antibiotic used in the prophylaxis and treatment of serious infections caused by Gram-positive bacteria. Teicoplanin has a unique acyl-aliphatic chain, and binds to cell wall precursors to inhibit transglycosylation  and transpeptidation.
ARO:0000030	tigecycline	Tigecycline is an glycylcycline antibiotic. It works by inhibiting action of the prokaryotic 30S ribosome.
ARO:0000031	antibiotic resistant gene variant or mutant	Resistance to antibiotics is often conferred by single nucleotide polymorphisms (SNPs) and other mutations in target genes.
ARO:0000032	cephalosporin	Cephalosporins are a class of beta-lactam antibiotics, containing the beta-lactam ring fused with a dihydrothiazolidine ring. Together with cephamycins they belong to a sub-group called cephems. Cephalosporin are bactericidal, and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. The peptidoglycan layer is important for cell wall structural integrity, especially in Gram-positive organisms.
ARO:0000034	streptogramin A antibiotic	Streptogramin A antibiotics are cyclic polyketide peptide hybrids that bind to the ribosomal peptidyl transfer centre. Structural variation arises from substituting a proline for its desaturated derivative and by its substitution for Ala or Cys. Used alone, streptogramin A antibiotics are bacteriostatic, but is bactericidal when used with streptogramin B antibiotics.
ARO:0000035	sisomicin	Sisomicin is an aminoglycoside antibiotic used to treat different types of bacterial infections. Sisomicin works by binding to the bacterial 30S ribosomal subunit, causing misreading of mRNA and leaving the bacterium unable to synthesize proteins vital to its growth.
ARO:0000036	ciprofloxacin	Ciprofloxacin is a bacteriocidal fluoroquinolone. It blocks bacterial DNA replication by binding to the toposiomerase II or IV-DNA complex (or cleavable complex), thereby causing double-stranded breaks in the bacterial chromosome.
ARO:0000037	apramycin	Apramycin is an aminoglycoside antibiotic used to treat different types of bacterial infections in animals. Apramycin works by binding to the bacterial 30S ribosomal subunit, causing misreading of mRNA and leaving the bacterium unable to synthesize proteins vital to its growth.
ARO:0000038	netilmicin	Netilmicin is a member of the aminoglycoside family of antibiotics. These antibiotics have the ability to kill a wide variety of bacteria by binding to the bacterial 30S ribosomal subunit, causing misreading of mRNA and leaving the bacterium unable to synthesize proteins vital to its growth. Netilmicin is not absorbed from the gut and is therefore only given by injection or infusion. It is only used in the treatment of serious infections particularly those resistant to gentamicin.
ARO:0000039	spectinomycin	Spectinomycin is an aminoglycoside antibiotic used to treat different types of bacterial infections. Spectinomycin works by binding to the bacterial 30S ribosomal subunit inhibiting translation.
ARO:0000040	streptomycin	Streptomycin is an aminoglycoside antibiotic used to treat different types of bacterial infections. Streptomycin works by binding to the bacterial 30S ribosomal subunit, causing misreading of mRNA and leaving the bacterium unable to synthesize proteins vital to its growth.
ARO:0000041	bacitracin	Bacitracin is a mixture of related cyclic polypeptides produced by organisms of the licheniformis group of Bacillus subtilis var Tracy. Bacitracin interferes with the dephosphorylation of the C55-isoprenyl pyrophosphate, a molecule which carries the building blocks of the peptidoglycan bacterial cell wall outside of the inner membrane.
ARO:0000042	glycylcycline	Glycylcyclines are a new class of antibiotics derived from tetracycline. These tetracycline analogues are specifically designed to overcome two common mechanisms of tetracycline resistance. Presently, there is only one glycylcycline antibiotic for clinical use: tigecycline. It works by inhibiting action of the prokaryotic 30S ribosome, preventing the binding of aminoacyl-tRNA.
ARO:0000043	carbenicillin	Carbenicillin is a semi-synthetic antibiotic belonging to the carboxypenicillin subgroup of the penicillins. It has gram-negative coverage which includes Pseudomonas aeruginosa but limited gram-positive coverage. The carboxypenicillins are susceptible to degradation by beta-lactamase enzymes. Carbenicillin antibiotics are bactericidal, and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. The peptidoglycan layer is important for cell wall structural integrity, especially in Gram-positive organisms.
ARO:0000044	cephamycin	Cephamycins are a group of beta-lactam antibiotics, very similar to cephalosporins. Together with cephalosporins, they form a sub-group of antibiotics known as cephems. Cephamycins are bactericidal, and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. The peptidoglycan layer is important for cell wall structural integrity, especially in Gram-positive organisms. The 7-alpha-methoxy group increases resistance to beta-lactamases.
ARO:0000045	acriflavin	Acriflavin is a topical antiseptic. It has the form of an orange or brown powder. It may be harmful in the eyes or if inhaled. Acriflavine is also used as treatment for external fungal infections of aquarium fish.
ARO:0000046	lincomycin	Lincomycin is a lincosamide antibiotic that comes from the actinomyces Streptomyces lincolnensis. It binds to the 23s portion of the 50S subunit of bacterial ribosomes and inhibit early elongation of peptide chain by inhibiting transpeptidase reaction.
ARO:0000047	puromycin	Puromycin is an aminonucleoside antibiotic, derived from Streptomyces alboniger, that causes premature chain termination during ribosomal protein translation.
ARO:0000049	kanamycin A	Kanamycin is an aminoglycoside antibiotic used to treat different types of bacterial infections. Kanamycin works by binding to the bacterial 30S ribosomal subunit, causing misreading of mRNA and leaving the bacterium unable to synthesize proteins vital to its growth.
ARO:0000050	streptogramin B antibiotic	Streptogramin B antibiotics are are cyclic hepta- or hexa-depsipeptides.  Type B streptogramins block the peptide exit tunnel of the 50S bacterial ribosome. The general composition of group B streptogramins is 3-hydroxypicolinic acid-L-Thr-D-aminobutyric acid (or D-Ala)-L-Pro-L-Phe (or 4-N-,N-(dimethylamino)-L-Phe)-X-L-phenylglycine. Used alone, streptogramin B antibiotics are bacteriostatic, but is bactericidal when used with streptogramin A antibiotics.
ARO:0000051	tetracycline	Tetracycline is a broad-spectrum polyketide antibiotic produced by many Streptomyces. It works by inhibiting action of the prokaryotic 30S ribosome.
ARO:0000052	tobramycin	Tobramycin is an aminoglycoside antibiotic used to treat different types of bacterial infections. Tobramycin works by binding to the bacterial 30S ribosomal subunit, causing misreading of mRNA and leaving the bacterium unable to synthesize proteins vital to its growth.
ARO:0000053	bleomycin	Bleomycin is a family of glycopeptide antibiotics produced by the bacterium Streptomyces verticillus. Bleomycins, taken as a mixture, act by the induction of DNA and RNA strand breaks. In addition to its antibacterial activity, bleomycin is also used as an anticancer agent.
ARO:0000054	penicillin	Penicillin (sometimes abbreviated PCN) is a beta-lactam antibiotic used in the treatment of bacterial infections caused by susceptible, usually Gram-positive, organisms. It works by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. The peptidoglycan layer is important for cell wall structural integrity, especially in Gram-positive organisms.
ARO:0000055	bicyclomycin	Bicyclomycin represents a unique class of antibiotics, discovered in 1972. It is obtained by the fermentation of Streptomyces sapporonensis. In the crystalline form bicyclomycin is observed to be rhombic or monoclinic, depending on the solvent used. This antibiotic kills bacteria by inhibiting the Rho transcription terminator factor, halting ribonucleic acid (RNA) synthesis.
ARO:0000056	oxacillin	Oxacillin is a penicillinase-resistant beta-lactam. It is similar to methicillin, and has replaced methicillin in clinical use. Oxacillin, especially in combination with other antibiotics, is effective against many penicillinase-producing strains of Staphylococcus aureus and Staphylococcus epidermidis.
ARO:0000057	telithromycin	Telithromycin is a semi-synthetic derivative of erythromycin. It is a 14-membered macrolide and is the first ketolide antibiotic to be used in clinics. Telithromycin binds the 50S subunit of the bacterial ribosome to inhibit protein synthesis.
ARO:0000058	cefazolin	Cefazolin (INN), also known as cefazoline or cephazolin, is a first generation cephalosporin antibiotic. It is administered parenterally, and is active against a broad spectrum of bacteria.
ARO:0000059	cefepime	Cefepime (INN) is a fourth-generation cephalosporin antibiotic developed in 1994. It contains an aminothiazolyl group that decreases its affinity with beta-lactamases. Cefepime shows high binding affinity with penicillin-binding proteins and has an extended spectrum of activity against Gram-positive and Gram-negative bacteria, with greater activity against both Gram-negative and Gram-positive organisms than third-generation agents.
ARO:0000060	ceftazidime	Ceftazidime is a third-generation cephalosporin antibiotic. Like other third-generation cephalosporins, it has broad spectrum activity against Gram-positive and Gram-negative bacteria. Unlike most third-generation agents, it is active against Pseudomonas aeruginosa, however it has weaker activity against Gram-positive microorganisms and is not used for such infections.
ARO:0000061	ceftobiprole	Ceftobiprole (Zeftera/Zevtera) is a next generation (5th generation) cephalosporin antibiotic with activity against methicillin-resistant Staphylococcus aureus, penicillin-resistant Streptococcus pneumoniae, Pseudomonas aeruginosa, and Enterococci. Ceftobiprole inhibits transpeptidases essential to building cell walls, and is a poor substrate for most beta-lactamases.
ARO:0000062	ceftriaxone	Ceftriaxone is a third-generation cephalosporin antibiotic. The presence of an aminothiazolyl sidechain increases ceftriazone's resistance to beta-lactamases. Like other third-generation cephalosporins, it has broad spectrum activity against Gram-positive and Gram-negative bacteria.
ARO:0000063	cefuroxime	Cefuroxime is a second-generation cephalosporin antibiotic with increased stability with beta-lactamases than first-generation cephalosporins. Cefuroxime is active against Gram-positive organisms but less active against methicillin-resistant strains.
ARO:0000064	amoxicillin	Amoxicillin is a moderate-spectrum, bacteriolytic, beta-lactam antibiotic used to treat bacterial infections caused by susceptible microorganisms. A derivative of penicillin, it has a wider range of treatment but remains relatively ineffective against Gram-negative bacteria. It is commonly taken with clavulanic acid, a beta-lactamase inhibitor. Like other beta-lactams, amoxicillin interferes with the synthesis of peptidoglycan.
ARO:0000065	clarithromycin	Clarithromycin is a methyl derivative of erythromycin, sharing the 14-carbon macrolide ring. The antibiotic binds to the 50S subunit of the ribosome and is used to treat pharyngitis, tonsillitis, acute maxillary sinusitis, acute bacterial exacerbation of chronic bronchitis, pneumonia (especially atypical pneumonias associated with Chlamydia pneumoniae or TWAR), and skin structure infections.
ARO:0000066	clindamycin	Clindamycin is a lincosamide antibiotic that blocks A-site aminoacyl-tRNA binding. It is usually used to treat infections with anaerobic bacteria but can also be used to treat some protozoal diseases, such as malaria.
ARO:0000067	colistin	Colistins are polymyxin antibiotics produced by certain strains of Bacillus polymyxa var. colistinus. Colistin, also referred to as polymyxin E, is a mixture of cyclic polypeptides colistin A and B which disrupt the bacterial cell membrane and is effective against Gram-negative bacteria.
ARO:0000068	daptomycin	Daptomycin is a novel lipopeptide antibiotic used in the treatment of certain infections caused by Gram-positive organisms. Daptomycin interferes with the bacterial cell membrane, reducing membrane potential and inhibiting cell wall synthesis.
ARO:0000069	doxycycline	Doxycycline is second generation semi-synthetic derivative of the tetracycline group of antibiotics. It inhibits bacterial protein synthesis by binding to the 30S subunit of the bacterial ribosome and preventing the aminotransferase-tRNA from associating with the ribosome.
ARO:0000070	ertapenem	Ertapenem is a carbapenem antibiotic and is highly resistant to beta-lactamases like other carbapenems. It inhibits bacterial cell wall synthesis.
ARO:0000071	levofloxacin	Levofloxacin is a synthetic chemotherapeutic antibiotic of the fluoroquinolone drug class. Its main target is topoisomerase IV, inhibiting its function and disrupting DNA replication.
ARO:0000072	linezolid	Linezolid is a synthetic antibiotic used for the treatment of serious infections caused by Gram-positive bacteria that are resistant to several other antibiotics. It inhibits protein synthesis by binding to domain V of the 23S rRNA of the 50S subunit of bacterial ribosomes.
ARO:0000073	meropenem	Meropenem is an ultra-broad spectrum injectable antibiotic used to treat a wide variety of infections, including meningitis and pneumonia. It is a beta-lactam and belongs to the subgroup of carbapenem, similar to imipenem and ertapenem.
ARO:0000074	moxifloxacin	Moxifloxacin is a fourth generation synthetic fluoroquinolone chemotherapeutic agent, and has been shown to be significantly more active than levofloxacin (4 to 8 times more) against Streptococcus pneumoniae. It acts by inhibiting bacterial DNA topoisomerases.
ARO:0000075	nitrofurantoin	Nitrofurantoin is an antibiotic used to treat urinary tract infections. It inhibits enzyme synthesis by inhibiting essential enzymes involved in the citric acid cycle, as well as those involved in DNA, RNA, and protein synthesis. It is marketed under the following brand names: Furadantin, Macrobid, Macrodantin, Nitro Macro and Urantoin.
ARO:0000076	inhibitor of antibiotic resistance	Inhibitors of antibiotic resistance, including specifically antibiotic adjuvants, are non-antibiotic compounds which act to block resistance or enhance antibiotic action. These are delivered in combination with an antibiotic (e.g. amoxicillin-clavulanic acid) and may either affect the host organism or the pathogen. Adjuvants are therefore used to rescue the activity of existing drugs, and are researched as an alternative solution the antibiotic resistance crisis.
ARO:0000077	tazobactam	Tazobactam is a compound which inhibits the action of bacterial beta-lactamases.
ARO:0000078	piperacillin	Piperacillin is an acetylureidopenicillin and has an extended spectrum of targets relative to other beta-lactam antibiotics. It inhibits cell wall synthesis in bacteria, and is usually taken with the beta-lactamase inhibitor tazobactam to overcome penicillin-resistant bacteria.
ARO:0000079	clavulanate	Clavulanic acid is a beta-lactamase inhibitor (marketed by GlaxoSmithKline, formerly Beecham) combined with penicillin group antibiotics to overcome certain types of antibiotic resistance. It is used to overcome resistance in bacteria that secrete beta-lactamase, which otherwise inactivates most penicillins.
ARO:0001001	antibiotic target alteration	Mutational alteration or enzymatic modification of antibiotic target which results in antibiotic resistance.
ARO:0001002	antibiotic target replacement	Replacement or substitution of antibiotic action target, which process will result in antibiotic resistance.
ARO:0001003	antibiotic target protection	Protection of antibiotic action target from antibiotic binding, which process will result in antibiotic resistance.
ARO:0001004	antibiotic inactivation	Enzymatic inactivation of antibiotic to confer drug resistance.
ARO:0010000	antibiotic efflux	Antibiotic resistance via the transport of antibiotics out of the cell.
ARO:0010001	ATP-binding cassette (ABC) antibiotic efflux pump	Directed pumping of antibiotic out of a cell to confer resistance. ATP-binding cassette (ABC) transporters are present in all cells of all organisms and use the energy of ATP binding/hydrolysis to transport substrates across cell membranes.
ARO:0010002	major facilitator superfamily (MFS) antibiotic efflux pump	Directed pumping of antibiotic out of a cell to confer resistance. Major facilitator superfamily (MFS) transporters and ABC transporters comprise the two largest and most functionally diverse of the transporter superfamilies. However, MFS transporters are distinct from ABC transporters in both their primary sequence and structure and in the mechanism of energy coupling. As secondary transporters they are, like RND and SMR transporters, energized by the electrochemical proton gradient.
ARO:0010003	small multidrug resistance (SMR) antibiotic efflux pump	Directed pumping of antibiotic out of a cell to confer resistance. Small multidrug resistance (SMR) proteins are a relatively small family of transporters, restricted to prokaryotic cells. They are also the smallest multidrug transporters, with only four transmembrane alpha-helices and no significant extramembrane domain.
ARO:0010004	resistance-nodulation-cell division (RND) antibiotic efflux pump	Directed pumping of antibiotic out of a cell to confer resistance. Resistance-nodulation-division (RND) proteins are found in both prokaryotic and eukaryotic cells and have diverse substrate specificities and physiological roles. However, there are relatively few RND transporters and they are secondary transporters, energized not by ATP binding/hydrolysis but by proton movement down the transmembrane electrochemical gradient.
ARO:0015297	antiporter activity	Enables the active transport of a solute across a membrane by a mechanism whereby two or more species are transported in opposite directions in a tightly coupled process not directly linked to a form of energy other than chemiosmotic energy. The reaction is: solute A(out) + solute B(in) = solute A(in) + solute B(out).
ARO:0022804	active transmembrane transporter activity	Catalysis of the transfer of a specific substance or related group of substances from one side of a membrane to the other, up the solute's concentration gradient. The transporter binds the solute and undergoes a series of conformational changes. Transport works equally well in either direction.
ARO:1000001	process or component of antibiotic biology or chemistry	Antibiotic resistance is the ability of a microorganism to withstand the effects of an antibiotic. It is a specific type of drug resistance.
ARO:1000002	mechanism of antibiotic resistance	Antibiotic resistance mechanisms evolve naturally via natural selection through random mutation, but it could also be engineered by applying an evolutionary stress on a population.
ARO:1000003	antibiotic molecule	Antibiotics are commonly classified based on their mechanism of action, chemical structure or spectrum of activity.
ARO:3000000	determinant of antibiotic resistance	A mutation, single nucleotide polymorphism, gene, or gene product that confers antibiotic resistance.
ARO:3000001	beta-lactamase	Beta-lactamases are enzymes (EC 3.5.2.6) produced by some bacteria and are responsible for their resistance to beta-lactam antibiotics like penicillins, cephalosporins (are relatively resistant to beta-lactamase), cephamycins, and carbapenems (ertapenem). These antibiotics have a common element in their molecular structure: a four-atom ring known as a beta-lactam. The lactamase enzyme breaks that ring open, deactivating the molecule's antibacterial properties. Beta-lactam antibiotics are typically used to treat a broad spectrum of gram-positive and gram-negative bacteria. Beta-lactamases produced by gram-negative organisms are usually secreted.
ARO:3000002	vanW	vanW is an accessory gene, with unknown function, found on vancomycin resistance operons.
ARO:3000003	antibiotic without defined classification	These compounds are antibiotics of unique structure or origin, without a defined classification.
ARO:3000004	class B (metallo-) beta-lactamase	Ambler Class B beta-lactamases are the metallo-beta-lactamases.  These enzymes possess one or two zinc ions in the active site, which are used to orient a hydroxide nucleophile to attack the carbonyl on a beta-lactam ring.  There are currently no inhibitors in late-stage development for these relatively new beta-lactamases.
ARO:3000005	vanD	VanD is a D-Ala-D-Ala ligase homolog similar to VanA, and can synthesize D-Ala-D-Lac, an alternative substrate for peptidoglycan synthesis that reduces vancomycin binding affinity. It is associated with both vancomycin and teicoplanin resistance.
ARO:3000006	vanH	VanH is a D-specific alpha-ketoacid dehydrogenase that synthesizes D-lactate. D-lactate is incorporated into the end of the peptidoglycan subunits, decreasing vancomycin binding affinity.
ARO:3000007	beta-lactam antibiotic	Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics.
ARO:3000008	penam	Penams, often referred to as penicillins, are a group of antibiotics derived from Penicillium fungi. Penicillin antibiotics are historically significant because they are the first drugs that were effective against many previously serious diseases such as syphilis and Staphylococcus infections. Penicillins are still widely used today, though many types of bacteria are now resistant. All penicillins are beta-lactam antibiotics in the penam sub-group, and are used in the treatment of bacterial infections caused by susceptible, usually Gram-positive, organisms.
ARO:3000010	vanA	VanA is a D-Ala-D-Ala ligase homolog that synthesizes D-Ala-D-Lac, an alternative substrate for peptidoglycan synthesis that reduces vancomycin binding affinity. It has been isolated from VREs. It is associated with both vancomycin and teicoplanin resistance.
ARO:3000011	vanX	VanX is a D,D-dipeptidase that cleaves D-Ala-D-Ala but not D-Ala-D-Lac, ensuring that the latter dipeptide that has reduced binding affinity with vancomycin is used to synthesize peptidoglycan substrate.
ARO:3000012	protein(s) conferring antibiotic resistance via molecular bypass	Proteins involved in restructuring of the cell wall, causing antibiotic resistance.
ARO:3000013	vanB	VanB is a D-Ala-D-Ala ligase homolog similar to VanA, and can synthesize D-Ala-D-Lac, an alternative substrate for peptidoglycan synthesis that reduces vancomycin binding affinity. It has been isolated from VREs. It is associated with vancomycin resistance, but not teicoplanin resistance.
ARO:3000014	TEM beta-lactamase	TEM-1 is the most commonly-encountered beta-lactamase in gram-negative bacteria. Up to 90% of ampicillin resistance in E. coli is due to the production of TEM-1. Also responsible for the ampicillin and penicillin resistance that is seen in H. influenzae and N. gonorrhoeae in increasing numbers. Although TEM-type beta-lactamases are most often found in E. coli and K. pneumoniae, they are also found in other species of gram-negative bacteria with increasing frequency. The amino acid substitutions responsible for the ESBL phenotype cluster around the active site of the enzyme and change its configuration, allowing access to oxyimino-beta-lactam substrates. Opening the active site to beta-lactam substrates also typically enhances the susceptibility of the enzyme to b-lactamase inhibitors, such as clavulanic acid.  Although the inhibitor-resistant beta-lactamases are not ESBLs, they are often discussed with ESBLs because they are also derivatives of the classical TEM- or SHV-type enzymes. These enzymes were at first given the designation IRT for inhibitor-resistant TEM beta-lactamase; however, all have subsequently been renamed with numerical TEM designations. There are at least 19 distinct inhibitor-resistant TEM beta-lactamases. Inhibitor-resistant TEM beta-lactamases have been found mainly in clinical isolates of E. coli, but also some strains of K. pneumoniae, Klebsiella oxytoca, P. mirabilis, and Citrobacter freundii. Although the inhibitor-resistant TEM variants are resistant to inhibition by clavulanic acid and sulbactam, thereby showing clinical resistance to the beta-lactam-lactamase inhibitor combinations of amoxicillin-clavulanate (Co-amoxiclav), ticarcillin-clavulanate, and ampicillin/sulbactam, they normally remain susceptible to inhibition by tazobactam and subsequently the combination of piperacillin/tazobactam, although resistance has been described.
ARO:3000015	SHV beta-lactamase	SHV-1 shares 68 percent of its amino acids with TEM-1 and has a similar overall structure. The SHV-1 beta-lactamase is most commonly found in K. pneumoniae and is responsible for up to 20% of the plasmid-mediated ampicillin resistance in this species. ESBLs in this family also have amino acid changes around the active site, most commonly at positions 238 or 238 and 240. More than 60 SHV varieties are known.
ARO:3000016	CTX-M beta-lactamase	These enzymes were named for their greater activity against cefotaxime than other oxyimino-beta-lactam substrates (eg, ceftazidime, ceftriaxone, or cefepime). Rather than arising by mutation, they represent examples of plasmid acquisition of beta-lactamase genes normally found on the chromosome of Kluyvera species, a group of rarely pathogenic commensal organisms. These enzymes are not very closely related to TEM or SHV beta-lactamases in that they show only approximately 40% identity with these two commonly isolated beta-lactamases. Despite their name, a few are more active on ceftazidime than cefotaxime.  CTX-M-15 was recently found in bacterial strains expressing NDM-1 and were responsible for resistance to aztreonam.
